Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pense-Bet,Chrome 73.0.3683.103,,2019-05-02 17:11:07,2019-05-02 17:12:57,1m - 50.250s,FAILED
,,,,,,
Test Cases/UserCreation,Chrome 73.0.3683.103,Création d'un utilisateur n'existant pas encore,2019-05-02 17:11:08,2019-05-02 17:11:14,6.036s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:11:08,2019-05-02 17:11:11,3.231s,PASSED
"navigateToUrl(""http://localhost:8080/register"")",Chrome 73.0.3683.103,,2019-05-02 17:11:11,2019-05-02 17:11:11,0.347s,PASSED
"setText(findTestObject(""Page_Pense Bet/input_Register_email""), ""katalon@test.ch"")",Chrome 73.0.3683.103,,2019-05-02 17:11:11,2019-05-02 17:11:12,0.282s,PASSED
"setText(findTestObject(""Page_Pense Bet/input_Register_nickname""), ""katalon"")",Chrome 73.0.3683.103,,2019-05-02 17:11:12,2019-05-02 17:11:12,0.110s,PASSED
"setEncryptedText(findTestObject(""Page_Pense Bet/input_Register_password""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:12,2019-05-02 17:11:12,0.193s,PASSED
"setEncryptedText(findTestObject(""Page_Pense Bet/input_Register_passwordConfirmation""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:12,2019-05-02 17:11:12,0.105s,PASSED
"click(findTestObject(""Page_Pense Bet/button_Register""))",Chrome 73.0.3683.103,,2019-05-02 17:11:12,2019-05-02 17:11:13,0.681s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-05-02 17:11:13,2019-05-02 17:11:14,0.703s,PASSED
,,,,,,
Test Cases/UserCreationFailPassword,Chrome 73.0.3683.103,,2019-05-02 17:11:14,2019-05-02 17:11:18,4.316s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-05-02 17:11:14,2019-05-02 17:11:16,2.151s,PASSED
"navigateToUrl(""http://localhost:8080/register"")",Chrome 73.0.3683.103,,2019-05-02 17:11:16,2019-05-02 17:11:17,1.217s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Register_email (1)""), ""katalon2@test.ch"")",Chrome 73.0.3683.103,,2019-05-02 17:11:17,2019-05-02 17:11:17,0.196s,PASSED
"setText(findTestObject(""Object Repository/Page_Pense Bet/input_Register_nickname (1)""), ""katalon2"")",Chrome 73.0.3683.103,,2019-05-02 17:11:17,2019-05-02 17:11:17,0.119s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Pense Bet/input_Register_password (1)""), ""o+tS4OuGt32s9ezZj287yw=="")",Chrome 73.0.3683.103,,2019-05-02 17:11:17,2019-05-02 17:11:18,0.114s,PASSED
